HomeTeam,AwayTeam,FTHG,FTAG
Leeds,Blackburn,2,1
Liverpool,Arsenal,1,2
Man United,Birmingham,3,0
Newcastle,Southampton,1,0
Portsmouth,Charlton,1,2
Tottenham,Everton,3,0
Wolves,Man City,1,0
Aston Villa,Bolton,1,1
Middlesbrough,Chelsea,1,2
Birmingham,Chelsea,0,0
Arsenal,Chelsea,2,1
Fulham,Wolves,0,0
Leeds,Man United,0,1
Man City,Bolton,6,2
Middlesbrough,Newcastle,0,1
Portsmouth,Liverpool,1,0
Birmingham,Aston Villa,0,0
Everton,Southampton,0,0
Leicester,Tottenham,1,2
Blackburn,Charlton,0,1
Fulham,Newcastle,2,3
Aston Villa,Everton,0,0
Bolton,Birmingham,0,1
Chelsea,Man City,1,0
Liverpool,Leeds,3,1
Man United,Fulham,1,3
Newcastle,Portsmouth,3,0
Southampton,Blackburn,2,0
Wolves,Leicester,4,3
Charlton,Arsenal,1,1
Tottenham,Middlesbrough,0,0
Everton,Chelsea,0,1
Leeds,Arsenal,1,4
Man United,Portsmouth,3,0
Middlesbrough,Wolves,2,0
Newcastle,Aston Villa,1,1
Southampton,Man City,0,2
Tottenham,Bolton,0,1
Fulham,Liverpool,1,2
Leicester,Blackburn,2,0
Birmingham,Charlton,1,2
Arsenal,Tottenham,2,1
Aston Villa,Middlesbrough,0,2
Bolton,Southampton,0,0
Charlton,Fulham,3,1
Portsmouth,Leeds,6,1
Wolves,Birmingham,1,1
Chelsea,Newcastle,5,0
Liverpool,Man United,1,2
Man City,Leicester,0,3
Blackburn,Everton,2,1
Birmingham,Arsenal,0,3
Everton,Wolves,2,0
Leeds,Bolton,0,2
Leicester,Charlton,1,1
Man United,Blackburn,2,1
Middlesbrough,Liverpool,0,0
Newcastle,Man City,3,0
Southampton,Chelsea,0,1
Tottenham,Aston Villa,2,1
Fulham,Portsmouth,2,0
Aston Villa,Southampton,1,0
Blackburn,Tottenham,1,0
Bolton,Everton,2,0
Charlton,Leeds,0,1
Portsmouth,Leicester,0,2
Wolves,Newcastle,1,1
Arsenal,Fulham,0,0
Chelsea,Man United,1,0
Liverpool,Birmingham,3,1
Man City,Middlesbrough,0,1
Birmingham,Blackburn,0,4
Fulham,Bolton,2,1
Leeds,Chelsea,1,1
Leicester,Arsenal,1,1
Man United,Aston Villa,4,0
Middlesbrough,Portsmouth,0,0
Newcastle,Liverpool,1,1
Tottenham,Wolves,5,2
Everton,Man City,0,0
Southampton,Charlton,3,2
Chelsea,Bolton,1,2
Leicester,Birmingham,0,2
Liverpool,Southampton,1,2
Man United,Man City,3,1
Middlesbrough,Charlton,0,0
Newcastle,Tottenham,4,0
Portsmouth,Everton,1,2
Arsenal,Blackburn,1,0
Aston Villa,Wolves,3,2
Leeds,Fulham,3,2
Blackburn,Aston Villa,0,2
Bolton,Arsenal,1,1
Charlton,Newcastle,0,0
Everton,Leicester,3,2
Fulham,Chelsea,0,1
Southampton,Portsmouth,3,0
Tottenham,Man United,1,2
Man City,Leeds,1,1
Arsenal,Wolves,3,0
Birmingham,Man City,2,1
Blackburn,Middlesbrough,2,2
Charlton,Chelsea,4,2
Fulham,Southampton,2,0
Leeds,Aston Villa,0,0
Leicester,Newcastle,1,1
Liverpool,Bolton,3,1
Man United,Everton,3,2
Portsmouth,Tottenham,2,0
Aston Villa,Fulham,3,0
Bolton,Leicester,2,2
Chelsea,Portsmouth,3,0
Everton,Birmingham,1,0
Man City,Liverpool,2,2
Middlesbrough,Man United,0,1
Newcastle,Blackburn,0,1
Tottenham,Charlton,0,1
Wolves,Leeds,3,1
Southampton,Arsenal,0,1
Aston Villa,Portsmouth,2,1
Bolton,Man United,1,2
Chelsea,Liverpool,0,1
Everton,Arsenal,1,1
Man City,Charlton,1,1
Middlesbrough,Fulham,2,1
Newcastle,Leeds,1,0
Southampton,Leicester,0,0
Tottenham,Birmingham,4,1
Wolves,Blackburn,2,2
Arsenal,Middlesbrough,4,1
Birmingham,Southampton,2,1
Blackburn,Bolton,3,4
Charlton,Wolves,2,0
Fulham,Everton,2,1
Leeds,Tottenham,0,1
Liverpool,Aston Villa,1,0
Portsmouth,Man City,4,2
Leicester,Chelsea,0,4
Man United,Newcastle,0,0
Bolton,Portsmouth,1,0
Everton,Charlton,0,1
Man City,Blackburn,1,1
Middlesbrough,Leicester,3,3
Southampton,Leeds,2,1
Tottenham,Liverpool,2,1
Wolves,Man United,1,0
Aston Villa,Arsenal,0,2
Chelsea,Birmingham,0,0
Newcastle,Fulham,3,1
Wolves,Liverpool,1,1
Birmingham,Newcastle,1,1
Charlton,Bolton,1,2
Fulham,Tottenham,2,1
Leeds,Middlesbrough,0,3
Leicester,Aston Villa,0,5
Liverpool,Everton,0,0
Man United,Southampton,3,2
Portsmouth,Wolves,0,0
Arsenal,Man City,2,1
Blackburn,Chelsea,2,3
Aston Villa,Leeds,2,0
Bolton,Liverpool,2,2
Everton,Man United,3,4
Middlesbrough,Blackburn,0,1
Newcastle,Leicester,3,1
Southampton,Fulham,0,0
Tottenham,Portsmouth,4,3
Wolves,Arsenal,1,3
Chelsea,Charlton,1,0
Man City,Birmingham,0,0
Arsenal,Southampton,2,0
Leeds,Wolves,4,1
Leicester,Bolton,1,1
Birmingham,Everton,3,0
Blackburn,Newcastle,1,1
Charlton,Tottenham,2,4
Fulham,Aston Villa,1,2
Liverpool,Man City,2,1
Man United,Middlesbrough,2,3
Portsmouth,Chelsea,0,2
Bolton,Man City,1,3
Charlton,Blackburn,3,2
Chelsea,Arsenal,1,2
Man United,Leeds,1,1
Newcastle,Middlesbrough,2,1
Southampton,Everton,3,3
Wolves,Fulham,2,1
Aston Villa,Birmingham,2,2
Tottenham,Leicester,4,4
Arsenal,Charlton,2,1
Blackburn,Southampton,1,1
Everton,Aston Villa,2,0
Fulham,Man United,1,1
Leicester,Wolves,0,0
Man City,Chelsea,0,1
Leeds,Liverpool,2,2
Portsmouth,Newcastle,1,1
Birmingham,Middlesbrough,3,1
Birmingham,Bolton,2,0
Middlesbrough,Tottenham,1,0
Birmingham,Leicester,0,1
Blackburn,Arsenal,0,2
Bolton,Chelsea,0,2
Charlton,Middlesbrough,1,0
Everton,Portsmouth,1,0
Fulham,Leeds,2,0
Man City,Man United,4,1
Southampton,Liverpool,2,0
Tottenham,Newcastle,1,0
Wolves,Aston Villa,0,4
Liverpool,Portsmouth,3,0
Arsenal,Bolton,2,1
Aston Villa,Blackburn,0,2
Chelsea,Fulham,2,1
Leicester,Everton,1,1
Liverpool,Wolves,1,0
Man United,Tottenham,3,0
Middlesbrough,Birmingham,5,3
Newcastle,Charlton,3,1
Portsmouth,Southampton,1,0
Leeds,Man City,2,1
Birmingham,Leeds,4,1
Blackburn,Portsmouth,1,2
Charlton,Aston Villa,1,2
Chelsea,Wolves,5,2
Everton,Middlesbrough,1,1
Man City,Fulham,0,0
Southampton,Tottenham,1,0
Arsenal,Man United,1,1
Bolton,Newcastle,1,0
Leicester,Liverpool,0,0
Fulham,Birmingham,0,0
Middlesbrough,Bolton,2,0
Newcastle,Everton,4,2
Tottenham,Chelsea,0,1
Wolves,Southampton,1,4
Aston Villa,Man City,1,1
Liverpool,Blackburn,4,0
Leeds,Leicester,3,2
Arsenal,Liverpool,4,2
Everton,Tottenham,3,1
Birmingham,Man United,1,2
Blackburn,Leeds,1,2
Bolton,Aston Villa,2,2
Charlton,Portsmouth,1,1
Chelsea,Middlesbrough,0,0
Leicester,Fulham,0,2
Man City,Wolves,3,3
Newcastle,Arsenal,0,0
Aston Villa,Chelsea,3,2
Fulham,Blackburn,3,4
Liverpool,Charlton,0,1
Middlesbrough,Southampton,3,1
Portsmouth,Birmingham,3,1
Tottenham,Man City,1,1
Wolves,Bolton,1,2
Leeds,Everton,1,1
Man United,Leicester,1,0
Arsenal,Leeds,5,0
Blackburn,Leicester,1,0
Bolton,Tottenham,2,0
Charlton,Birmingham,1,1
Chelsea,Everton,0,0
Liverpool,Fulham,0,0
Man City,Southampton,1,3
Portsmouth,Man United,1,0
Wolves,Middlesbrough,2,0
Aston Villa,Newcastle,0,0
Man United,Charlton,2,0
Everton,Blackburn,0,1
Fulham,Charlton,2,0
Leicester,Man City,1,1
Man United,Liverpool,0,1
Middlesbrough,Aston Villa,1,2
Southampton,Bolton,1,2
Birmingham,Wolves,2,2
Leeds,Portsmouth,1,2
Newcastle,Chelsea,2,1
Tottenham,Arsenal,2,2
Arsenal,Birmingham,0,0
Blackburn,Man United,1,0
Charlton,Leicester,2,2
Chelsea,Southampton,4,0
Man City,Newcastle,1,0
Portsmouth,Fulham,1,1
Wolves,Everton,2,1
Aston Villa,Tottenham,1,0
Bolton,Leeds,4,1
Liverpool,Middlesbrough,2,0
Portsmouth,Arsenal,1,1
Birmingham,Liverpool,0,3
Everton,Bolton,1,2
Leeds,Charlton,3,3
Leicester,Portsmouth,3,1
Man United,Chelsea,1,1
Middlesbrough,Man City,2,1
Southampton,Aston Villa,1,1
Tottenham,Blackburn,1,0
Fulham,Arsenal,0,1
Newcastle,Wolves,1,1
Southampton,Newcastle,3,3
Arsenal,Leicester,2,1
Aston Villa,Man United,0,2
Blackburn,Birmingham,1,1
Bolton,Fulham,0,2
Charlton,Southampton,2,1
Chelsea,Leeds,1,0
Liverpool,Newcastle,1,1
Man City,Everton,5,1
Portsmouth,Middlesbrough,5,1
Wolves,Tottenham,0,2
