HomeTeam,AwayTeam,FTHG,FTAG
Bournemouth,Aston Villa,0,1
Chelsea,Swansea,2,2
Everton,Watford,2,2
Leicester,Sunderland,4,2
Man United,Tottenham,1,0
Norwich,Crystal Palace,1,3
Arsenal,West Ham,0,2
Newcastle,Southampton,2,2
Stoke,Liverpool,0,1
West Brom,Man City,0,3
Aston Villa,Man United,0,1
Southampton,Everton,0,3
Sunderland,Norwich,1,3
Swansea,Newcastle,2,0
Tottenham,Stoke,2,2
Watford,West Brom,0,0
West Ham,Leicester,1,2
Crystal Palace,Arsenal,1,2
Man City,Chelsea,3,0
Liverpool,Bournemouth,1,0
Crystal Palace,Aston Villa,2,1
Leicester,Tottenham,1,1
Man United,Newcastle,0,0
Norwich,Stoke,1,1
Sunderland,Swansea,1,1
West Ham,Bournemouth,3,4
Everton,Man City,0,2
Watford,Southampton,0,0
West Brom,Chelsea,2,3
Arsenal,Liverpool,0,0
Aston Villa,Sunderland,2,2
Bournemouth,Leicester,1,1
Chelsea,Crystal Palace,1,2
Liverpool,West Ham,0,3
Man City,Watford,2,0
Newcastle,Arsenal,0,1
Stoke,West Brom,0,1
Tottenham,Everton,0,0
Southampton,Norwich,3,0
Swansea,Man United,2,1
Arsenal,Stoke,2,0
Crystal Palace,Man City,0,1
Everton,Chelsea,3,1
Man United,Liverpool,3,1
Norwich,Bournemouth,3,1
Watford,Swansea,1,0
West Brom,Southampton,0,0
Leicester,Aston Villa,3,2
Sunderland,Tottenham,0,1
West Ham,Newcastle,2,0
Aston Villa,West Brom,0,1
Bournemouth,Sunderland,2,0
Chelsea,Arsenal,2,0
Man City,West Ham,1,2
Newcastle,Watford,1,2
Stoke,Leicester,2,2
Swansea,Everton,0,0
Liverpool,Norwich,1,1
Southampton,Man United,2,3
Tottenham,Crystal Palace,1,0
Leicester,Arsenal,2,5
Liverpool,Aston Villa,3,2
Man United,Sunderland,3,0
Newcastle,Chelsea,2,2
Southampton,Swansea,3,1
Stoke,Bournemouth,2,1
Tottenham,Man City,4,1
West Ham,Norwich,2,2
Watford,Crystal Palace,0,1
West Brom,Everton,2,3
Aston Villa,Stoke,0,1
Bournemouth,Watford,1,1
Chelsea,Southampton,1,3
Crystal Palace,West Brom,2,0
Man City,Newcastle,6,1
Norwich,Leicester,1,2
Sunderland,West Ham,2,2
Arsenal,Man United,3,0
Everton,Liverpool,1,1
Swansea,Tottenham,2,2
Chelsea,Aston Villa,2,0
Crystal Palace,West Ham,1,3
Everton,Man United,0,3
Man City,Bournemouth,5,1
Southampton,Leicester,2,2
Tottenham,Liverpool,0,0
Watford,Arsenal,0,3
West Brom,Sunderland,1,0
Newcastle,Norwich,6,2
Swansea,Stoke,0,1
Arsenal,Everton,2,1
Aston Villa,Swansea,1,2
Leicester,Crystal Palace,1,0
Norwich,West Brom,0,1
Stoke,Watford,0,2
West Ham,Chelsea,2,1
Bournemouth,Tottenham,1,5
Liverpool,Southampton,1,1
Man United,Man City,0,0
Sunderland,Newcastle,3,0
Chelsea,Liverpool,1,3
Crystal Palace,Man United,0,0
Man City,Norwich,2,1
Newcastle,Stoke,0,0
Swansea,Arsenal,0,3
Watford,West Ham,2,0
West Brom,Leicester,2,3
Everton,Sunderland,6,2
Southampton,Bournemouth,2,0
Tottenham,Aston Villa,3,1
Bournemouth,Newcastle,0,1
Leicester,Watford,2,1
Man United,West Brom,2,0
Norwich,Swansea,1,0
Stoke,Chelsea,1,0
Sunderland,Southampton,0,1
West Ham,Everton,1,1
Arsenal,Tottenham,1,1
Aston Villa,Man City,0,0
Liverpool,Crystal Palace,1,2
Chelsea,Norwich,1,0
Everton,Aston Villa,4,0
Man City,Liverpool,1,4
Newcastle,Leicester,0,3
Southampton,Stoke,0,1
Swansea,Bournemouth,2,2
Watford,Man United,1,2
West Brom,Arsenal,2,1
Tottenham,West Ham,4,1
Crystal Palace,Sunderland,0,1
Aston Villa,Watford,2,3
Bournemouth,Everton,3,3
Crystal Palace,Newcastle,5,1
Leicester,Man United,1,1
Man City,Southampton,3,1
Sunderland,Stoke,2,0
Liverpool,Swansea,1,0
Norwich,Arsenal,1,1
Tottenham,Chelsea,0,0
West Ham,West Brom,1,1
Arsenal,Sunderland,3,1
Chelsea,Bournemouth,0,1
Man United,West Ham,0,0
Southampton,Aston Villa,1,1
Stoke,Man City,2,0
Swansea,Leicester,0,3
Watford,Norwich,2,0
West Brom,Tottenham,1,1
Newcastle,Liverpool,2,0
Everton,Crystal Palace,1,1
Bournemouth,Man United,2,1
Crystal Palace,Southampton,1,0
Man City,Swansea,2,1
Norwich,Everton,1,1
Sunderland,Watford,0,1
West Ham,Stoke,0,0
Aston Villa,Arsenal,0,2
Liverpool,West Brom,2,2
Tottenham,Newcastle,1,2
Leicester,Chelsea,2,1
Chelsea,Sunderland,3,1
Everton,Leicester,2,3
Man United,Norwich,1,2
Newcastle,Aston Villa,1,1
Southampton,Tottenham,0,2
Stoke,Crystal Palace,1,2
West Brom,Bournemouth,1,2
Swansea,West Ham,0,0
Watford,Liverpool,3,0
Arsenal,Man City,2,1
Aston Villa,West Ham,1,1
Bournemouth,Crystal Palace,0,0
Chelsea,Watford,2,2
Liverpool,Leicester,1,0
Man City,Sunderland,4,1
Newcastle,Everton,0,1
Southampton,Arsenal,4,0
Stoke,Man United,2,0
Swansea,West Brom,1,0
Tottenham,Norwich,3,0
Arsenal,Bournemouth,2,0
Crystal Palace,Swansea,0,0
Everton,Stoke,3,4
Man United,Chelsea,0,0
Norwich,Aston Villa,2,0
Watford,Tottenham,1,2
West Brom,Newcastle,1,0
West Ham,Southampton,2,1
Leicester,Man City,0,0
Sunderland,Liverpool,0,1
Arsenal,Newcastle,1,0
Leicester,Bournemouth,0,0
Man United,Swansea,2,1
Norwich,Southampton,1,0
Sunderland,Aston Villa,3,1
Watford,Man City,1,2
West Brom,Stoke,2,1
West Ham,Liverpool,2,0
Crystal Palace,Chelsea,0,3
Everton,Tottenham,1,1
Aston Villa,Crystal Palace,1,0
Bournemouth,West Ham,1,3
Newcastle,Man United,3,3
Chelsea,West Brom,2,2
Liverpool,Arsenal,3,3
Man City,Everton,0,0
Southampton,Watford,2,0
Stoke,Norwich,3,1
Swansea,Sunderland,2,4
Tottenham,Leicester,0,1
Aston Villa,Leicester,1,1
Bournemouth,Norwich,3,0
Chelsea,Everton,3,3
Man City,Crystal Palace,4,0
Newcastle,West Ham,2,1
Southampton,West Brom,3,0
Tottenham,Sunderland,4,1
Liverpool,Man United,0,1
Stoke,Arsenal,0,0
Swansea,Watford,1,0
Crystal Palace,Tottenham,1,3
Leicester,Stoke,3,0
Man United,Southampton,0,1
Norwich,Liverpool,4,5
Sunderland,Bournemouth,1,1
Watford,Newcastle,2,1
West Brom,Aston Villa,0,0
West Ham,Man City,2,2
Arsenal,Chelsea,0,1
Everton,Swansea,1,2
Arsenal,Southampton,0,0
Crystal Palace,Bournemouth,1,2
Leicester,Liverpool,2,0
Man United,Stoke,3,0
Norwich,Tottenham,0,3
Sunderland,Man City,0,1
West Brom,Swansea,1,1
West Ham,Aston Villa,2,0
Everton,Newcastle,3,0
Watford,Chelsea,0,0
Aston Villa,Norwich,2,0
Liverpool,Sunderland,2,2
Man City,Leicester,1,3
Newcastle,West Brom,1,0
Southampton,West Ham,1,0
Stoke,Everton,0,3
Swansea,Crystal Palace,1,1
Tottenham,Watford,1,0
Bournemouth,Arsenal,0,2
Chelsea,Man United,1,1
Bournemouth,Stoke,1,3
Chelsea,Newcastle,5,1
Crystal Palace,Watford,1,2
Everton,West Brom,0,1
Norwich,West Ham,2,2
Sunderland,Man United,2,1
Swansea,Southampton,0,1
Arsenal,Leicester,2,1
Aston Villa,Liverpool,0,6
Man City,Tottenham,1,2
Leicester,Norwich,1,0
Southampton,Chelsea,1,2
Stoke,Aston Villa,2,1
Watford,Bournemouth,0,0
West Brom,Crystal Palace,3,2
West Ham,Sunderland,1,0
Tottenham,Swansea,2,1
Man United,Arsenal,3,2
Aston Villa,Everton,1,3
Bournemouth,Southampton,2,0
Leicester,West Brom,2,2
Norwich,Chelsea,1,2
Sunderland,Crystal Palace,2,2
Arsenal,Swansea,1,2
Liverpool,Man City,3,0
Man United,Watford,1,0
Stoke,Newcastle,1,0
West Ham,Tottenham,1,0
Chelsea,Stoke,1,1
Everton,West Ham,2,3
Man City,Aston Villa,4,0
Newcastle,Bournemouth,1,3
Southampton,Sunderland,1,1
Swansea,Norwich,1,0
Tottenham,Arsenal,2,2
Watford,Leicester,0,1
Crystal Palace,Liverpool,1,2
West Brom,Man United,1,0
Bournemouth,Swansea,3,2
Norwich,Man City,0,0
Stoke,Southampton,1,2
Aston Villa,Tottenham,0,2
Leicester,Newcastle,1,0
Chelsea,West Ham,2,2
Crystal Palace,Leicester,0,1
Everton,Arsenal,0,2
Swansea,Aston Villa,1,0
Watford,Stoke,1,2
West Brom,Norwich,0,1
Man City,Man United,0,1
Newcastle,Sunderland,1,1
Southampton,Liverpool,3,2
Tottenham,Bournemouth,3,0
Arsenal,Watford,4,0
Aston Villa,Chelsea,0,4
Bournemouth,Man City,0,4
Liverpool,Tottenham,1,1
Norwich,Newcastle,3,2
Stoke,Swansea,2,2
Sunderland,West Brom,0,0
West Ham,Crystal Palace,2,2
Leicester,Southampton,1,0
Man United,Everton,1,0
Aston Villa,Bournemouth,1,2
Crystal Palace,Norwich,1,0
Man City,West Brom,2,1
Southampton,Newcastle,3,1
Swansea,Chelsea,1,0
Watford,Everton,1,1
West Ham,Arsenal,3,3
Liverpool,Stoke,4,1
Sunderland,Leicester,0,2
Tottenham,Man United,3,0
Crystal Palace,Everton,0,0
Chelsea,Man City,0,3
Everton,Southampton,1,1
Man United,Aston Villa,1,0
Newcastle,Swansea,3,0
Norwich,Sunderland,0,3
West Brom,Watford,0,1
Arsenal,Crystal Palace,1,1
Bournemouth,Liverpool,1,2
Leicester,West Ham,2,2
Stoke,Tottenham,0,4
Newcastle,Man City,1,1
Liverpool,Everton,4,0
Man United,Crystal Palace,2,0
West Ham,Watford,3,1
Arsenal,West Brom,2,0
Aston Villa,Southampton,2,4
Bournemouth,Chelsea,1,4
Liverpool,Newcastle,2,2
Man City,Stoke,4,0
Leicester,Swansea,4,0
Sunderland,Arsenal,0,0
Tottenham,West Brom,1,1
Arsenal,Norwich,1,0
Everton,Bournemouth,2,1
Newcastle,Crystal Palace,1,0
Stoke,Sunderland,1,1
Watford,Aston Villa,3,2
West Brom,West Ham,0,3
Man United,Leicester,1,1
Southampton,Man City,4,2
Swansea,Liverpool,3,1
Chelsea,Tottenham,2,2
Aston Villa,Newcastle,0,0
Bournemouth,West Brom,1,1
Crystal Palace,Stoke,2,1
Leicester,Everton,3,1
Norwich,Man United,0,1
Sunderland,Chelsea,3,2
West Ham,Swansea,1,4
Liverpool,Watford,2,0
Man City,Arsenal,2,2
Tottenham,Southampton,1,2
West Ham,Man United,3,2
Liverpool,Chelsea,1,1
Norwich,Watford,4,2
Sunderland,Everton,3,0
Arsenal,Aston Villa,4,0
Chelsea,Leicester,1,1
Everton,Norwich,3,0
Newcastle,Tottenham,5,1
Southampton,Crystal Palace,4,1
Stoke,West Ham,2,1
Swansea,Man City,1,1
Watford,Sunderland,2,2
West Brom,Liverpool,1,1
Man United,Bournemouth,3,1
