HomeTeam,AwayTeam,FTHG,FTAG
Man City,West Ham,2,1
Charlton,Fulham,1,1
Arsenal,Man City,1,0
Aston Villa,Wigan,0,2
Blackburn,Birmingham,2,0
Fulham,Liverpool,2,0
Man United,Tottenham,1,1
Portsmouth,Charlton,1,2
Bolton,West Brom,2,0
Everton,Chelsea,1,1
Newcastle,Sunderland,3,2
West Ham,Middlesbrough,2,1
Birmingham,Everton,0,1
Charlton,Bolton,0,1
Chelsea,Blackburn,4,2
Liverpool,West Ham,2,0
Middlesbrough,Man United,4,1
Sunderland,Portsmouth,1,4
Tottenham,Arsenal,1,1
Wigan,Fulham,1,0
West Brom,Newcastle,0,3
Man City,Aston Villa,3,1
Arsenal,Sunderland,3,1
Aston Villa,Liverpool,0,2
Blackburn,Charlton,4,1
Fulham,Man City,2,1
Newcastle,Birmingham,1,0
Portsmouth,Wigan,0,2
West Ham,West Brom,1,0
Everton,Middlesbrough,1,0
Man United,Chelsea,1,0
Bolton,Tottenham,1,0
Charlton,Man United,1,3
Chelsea,Newcastle,3,0
Liverpool,Portsmouth,3,0
Man City,Blackburn,0,0
Sunderland,Aston Villa,1,3
West Brom,Everton,4,0
Wigan,Arsenal,2,3
Middlesbrough,Fulham,3,2
Tottenham,West Ham,1,1
Arsenal,Blackburn,3,0
Aston Villa,Charlton,1,0
Man City,Liverpool,0,1
Portsmouth,Chelsea,0,2
Sunderland,Birmingham,0,1
Wigan,Tottenham,1,2
Everton,Newcastle,1,0
Fulham,Bolton,2,1
Middlesbrough,West Brom,2,2
West Ham,Man United,1,2
Sunderland,Liverpool,0,2
Blackburn,Everton,0,2
Bolton,Arsenal,2,0
Chelsea,Middlesbrough,1,0
Liverpool,Wigan,3,0
Man United,Portsmouth,3,0
Newcastle,Aston Villa,1,1
Tottenham,Sunderland,3,2
West Brom,Fulham,0,0
Charlton,Man City,2,5
Birmingham,West Ham,1,2
Birmingham,Fulham,1,0
Blackburn,West Ham,3,2
Bolton,Aston Villa,1,1
Charlton,Sunderland,2,0
Chelsea,Wigan,1,0
Liverpool,Middlesbrough,2,0
Newcastle,Arsenal,1,0
West Brom,Man City,2,0
Man United,Everton,1,1
Tottenham,Portsmouth,3,1
Everton,West Ham,1,2
Man United,Wigan,4,0
Aston Villa,Man United,0,2
Everton,Bolton,0,4
Fulham,Blackburn,2,1
Man City,Birmingham,4,1
Portsmouth,West Brom,1,0
West Ham,Newcastle,2,4
Wigan,Charlton,3,0
Arsenal,Chelsea,0,2
Middlesbrough,Tottenham,3,3
Aston Villa,Everton,4,0
Charlton,Arsenal,0,1
Chelsea,Fulham,3,2
Liverpool,Newcastle,2,0
Man United,West Brom,3,0
Middlesbrough,Blackburn,0,2
Portsmouth,West Ham,1,1
Sunderland,Bolton,0,0
Tottenham,Birmingham,2,0
Wigan,Man City,4,3
Arsenal,Portsmouth,4,0
Birmingham,Man United,2,2
Everton,Liverpool,1,3
Fulham,Aston Villa,3,3
Man City,Chelsea,0,1
West Brom,Tottenham,2,0
West Ham,Wigan,0,2
Aston Villa,Arsenal,0,0
Charlton,West Ham,2,0
Chelsea,Birmingham,2,0
Liverpool,West Brom,1,0
Man United,Bolton,4,1
Middlesbrough,Man City,0,0
Portsmouth,Fulham,1,0
Sunderland,Everton,0,1
Tottenham,Newcastle,2,0
Wigan,Blackburn,0,3
Birmingham,Wigan,2,0
Blackburn,Portsmouth,2,1
Bolton,Liverpool,2,2
Everton,Charlton,3,1
Fulham,Sunderland,2,1
Newcastle,Middlesbrough,2,2
West Brom,Aston Villa,1,2
West Ham,Chelsea,1,3
Arsenal,Man United,0,0
Man City,Tottenham,0,2
Arsenal,Middlesbrough,7,0
Aston Villa,West Ham,1,2
Blackburn,Bolton,0,0
Charlton,Birmingham,2,0
Fulham,Newcastle,1,0
Liverpool,Tottenham,1,0
Man City,Man United,3,1
Portsmouth,Everton,0,1
Sunderland,Chelsea,1,2
Wigan,West Brom,0,1
Birmingham,Portsmouth,5,0
Bolton,Man City,2,0
Everton,Arsenal,1,0
Middlesbrough,Wigan,2,3
Newcastle,Blackburn,0,1
Tottenham,Aston Villa,0,0
West Brom,Sunderland,0,1
Chelsea,Charlton,1,1
Man United,Liverpool,1,0
West Ham,Fulham,2,1
Charlton,West Brom,0,0
Fulham,Tottenham,1,0
Sunderland,Middlesbrough,0,3
Wigan,Everton,1,1
Arsenal,West Ham,2,3
Aston Villa,Chelsea,1,1
Blackburn,Man United,4,3
Liverpool,Birmingham,1,1
Man City,Newcastle,3,0
Portsmouth,Bolton,1,1
Birmingham,Arsenal,0,2
Bolton,Wigan,1,1
Everton,Man City,1,0
Man United,Fulham,4,2
Middlesbrough,Aston Villa,0,4
Newcastle,Portsmouth,2,0
West Brom,Blackburn,2,0
West Ham,Sunderland,2,0
Chelsea,Liverpool,2,0
Tottenham,Charlton,3,1
Charlton,Liverpool,2,0
Arsenal,Bolton,1,1
Aston Villa,Newcastle,1,2
Everton,Blackburn,1,0
Fulham,West Brom,6,1
Middlesbrough,Chelsea,3,0
Portsmouth,Man United,1,3
Wigan,Liverpool,0,1
Man City,Charlton,3,2
Sunderland,Tottenham,1,1
West Ham,Birmingham,3,0
Liverpool,Arsenal,1,0
Blackburn,Sunderland,2,0
Tottenham,Wigan,2,2
Newcastle,Charlton,0,0
Birmingham,Sunderland,1,0
Blackburn,Arsenal,1,0
Charlton,Aston Villa,0,0
Chelsea,Portsmouth,2,0
Newcastle,Everton,2,0
Bolton,Fulham,2,1
Liverpool,Man City,1,0
West Brom,Middlesbrough,0,2
Aston Villa,Portsmouth,1,0
Fulham,Arsenal,0,4
Liverpool,Charlton,0,0
Middlesbrough,Birmingham,1,0
Newcastle,Bolton,3,1
West Brom,Chelsea,1,2
West Ham,Everton,2,2
Man City,Sunderland,2,1
Tottenham,Blackburn,3,2
Wigan,Man United,1,2
Birmingham,West Brom,1,1
Blackburn,Aston Villa,2,0
Bolton,West Ham,4,1
Chelsea,Tottenham,2,1
Everton,Fulham,3,1
Portsmouth,Man City,2,1
Sunderland,Wigan,0,1
Arsenal,Liverpool,2,1
Charlton,Middlesbrough,2,1
Man United,Newcastle,2,0
Liverpool,Fulham,5,1
Arsenal,Charlton,3,0
Birmingham,Tottenham,0,2
Blackburn,Middlesbrough,3,2
Bolton,Sunderland,2,0
Everton,Aston Villa,4,1
Man City,Wigan,0,1
West Brom,Man United,1,2
West Ham,Portsmouth,2,4
Fulham,Chelsea,1,0
Newcastle,Liverpool,1,3
Aston Villa,Fulham,0,0
Chelsea,Man City,2,0
Liverpool,Everton,3,1
Sunderland,Blackburn,0,1
Wigan,West Ham,1,2
Charlton,Newcastle,3,1
Man United,Birmingham,3,0
Middlesbrough,Bolton,4,3
Tottenham,West Brom,2,1
Man United,West Ham,1,0
Arsenal,Aston Villa,5,0
Birmingham,Chelsea,0,0
Bolton,Man United,1,2
Everton,Sunderland,2,2
Fulham,Portsmouth,1,3
Newcastle,Tottenham,3,1
West Brom,Liverpool,0,2
Man City,Middlesbrough,0,1
West Ham,Charlton,0,0
Blackburn,Wigan,1,1
Birmingham,Bolton,1,0
Charlton,Everton,0,0
Portsmouth,Blackburn,2,2
Tottenham,Man City,2,1
Wigan,Birmingham,1,1
Aston Villa,West Brom,0,0
Chelsea,West Ham,4,1
Liverpool,Bolton,1,0
Man United,Arsenal,2,0
Middlesbrough,Newcastle,1,2
Portsmouth,Arsenal,1,1
Man United,Sunderland,0,0
Arsenal,West Brom,3,1
Bolton,Chelsea,0,2
Everton,Tottenham,0,1
Fulham,Charlton,2,1
Newcastle,Wigan,3,1
Portsmouth,Middlesbrough,1,0
West Ham,Man City,1,0
Aston Villa,Birmingham,3,1
Blackburn,Liverpool,0,1
Charlton,Portsmouth,2,1
Chelsea,Everton,3,0
Middlesbrough,West Ham,2,0
Sunderland,Newcastle,1,4
Tottenham,Man United,1,2
West Brom,Bolton,0,0
Wigan,Aston Villa,3,2
Birmingham,Blackburn,2,1
Arsenal,Tottenham,1,1
Bolton,Charlton,4,1
Everton,Birmingham,0,0
Newcastle,West Brom,3,0
Portsmouth,Sunderland,2,1
Fulham,Wigan,1,0
Aston Villa,Man City,0,1
West Ham,Liverpool,1,2
Birmingham,Newcastle,0,0
Charlton,Blackburn,0,2
Chelsea,Man United,3,0
Liverpool,Aston Villa,3,1
Man City,Fulham,1,2
Middlesbrough,Everton,0,1
Wigan,Portsmouth,1,2
Tottenham,Bolton,1,0
Man United,Middlesbrough,0,0
Sunderland,Arsenal,0,3
West Brom,West Ham,0,1
Blackburn,Chelsea,1,0
Bolton,Middlesbrough,1,1
Man City,Arsenal,1,3
Sunderland,Fulham,2,1
Arsenal,Wigan,4,2
Aston Villa,Sunderland,2,1
Blackburn,Man City,2,0
Bolton,Birmingham,1,0
Everton,West Brom,2,2
Fulham,Middlesbrough,1,0
Man United,Charlton,4,0
Newcastle,Chelsea,1,0
Portsmouth,Liverpool,1,3
West Ham,Tottenham,2,1
